Page,Users,Sessions,Users % of Total,Pageviews,Unique Pageviews,Entrances,Bounce Rate
/catalog/view/urn:uuid:889b7acc-4653-4b2d-b4ff-3c044c0526b6,3,2,0.002107,4,3,2,1
/catalog/view/doi:10.18739/A2C824F6G,3,3,0.002095,3,3,3,1
/catalog/view/doi:10.18739/A2W669897,3,3,0.002084,3,3,3,0.666666667
/catalog/view/doi:10.18739/A2SF2MC4V,3,3,0.002072,3,3,3,1
/catalog/view/doi:10.18739/A2G15TB81,3,2,0.002061,3,3,2,1
/catalog/view/doi:10.18739/A26V45,3,3,0.00205,3,3,3,1
/catalog/view/doi:10.18739/A2P843X00,3,3,0.002038,3,3,3,1
/catalog/view/doi:10.18739/A2GF0MX30,3,2,0.002028,3,3,2,1
/catalog/view/urn:uuid:3d7d6cc2-557f-4ada-8f05-a656ef00e80b,3,3,0.002017,3,3,3,1
/catalog/view/doi:10.18739/A2SJ19R6P,3,3,0.002006,3,3,3,1
/catalog/view/dcx_81245262-00de-4cf9-9582-23d591c42393_2,3,2,0.001996,4,3,2,1
/catalog/view/urn:uuid:29104f2e-d99e-48a0-bc81-4a4c05fbab15,3,3,0.001986,3,3,3,1
/catalog/view/doi:10.18739/A2RF5KG34,3,3,0.001976,3,3,3,1
/catalog/view/dcx_295542e7-8b2b-4e90-a68b-fcd67d745ab6_2,3,2,0.001966,3,3,2,1
/catalog/view/doi:10.18739/A2NV99B66,3,2,0.001956,3,3,2,1
/catalog/view/doi:10.18739/A28911R69,3,3,0.001946,3,3,3,1
/catalog/view/doi:10.18739/A2N873092,3,3,0.001936,3,3,3,1
/catalog/view/doi:10.18739/A24746S42,3,2,0.001927,4,3,2,1
/catalog/view/doi:10.18739/A2CJ87M1K,3,3,0.001918,3,3,3,1
/catalog/view/doi:10.18739/A2GB9C,3,3,0.001909,3,3,3,1
/catalog/view/doi:10.5065/D63R0R10,3,3,0.0019,3,3,3,1
/catalog/view/doi:10.18739/A2V11VM40,3,3,0.001891,3,3,3,1
